title,posterURL,planArea,planAddr,planLat,planLon,planCounty
도적: 칼의소리,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/179/JNFC_179.jpg,섬진강기차마을,전남 곡성군 오곡면 오지리 770-5,35.2795563224554,127.30786766033,곡성군
마스크걸,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/189/JNFC_189.JPG,목포 달맞이공원,전남 목포시 상동 1119-2,34.7947010899447,126.427230986417,목포시
국민사형투표 (SBS),https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/183/JNFC_183.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
무빙 (디즈니+),https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/178/JNFC_178.jpg,효산고등학교,전남 순천시 용당동 403-2,34.9728368867985,127.49649840597,순천시
DP 시즌2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/191/JNFC_191.JPG,여수엑스포역,전남 여수시 덕충동 61-7,34.75306663529482,127.74864067327242,여수시
밀수,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/f803616f.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
남남 (ENA),https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/180/JNFC_180.jpg,소호동동다리,전남 여수시 소호동 498-1,34.74087611212171,127.65074568267204,여수시
악귀,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202/JNFC_202.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
귀공자,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/176/JNFC_176.jpg,장성 (폐) 고속도로,전남 장성군 장성읍 유탕리 1625-38,35.31131378121752,126.79172243029193,장성군
송암동,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/6b4fdb37.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
꼬리에 꼬리를 무는 그날 이야기,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/188/JNFC_188.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
